"filename", "language", "TypeScript JSX", "JSON with Comments", "JavaScript", "Ruby", "JSON", "Markdown", "Objective-C", "XML", "C++", "Objective-C++", "Gradle", "Batch", "JavaScript JSX", "Java Properties", "Kotlin", "Properties", "comment", "blank", "total"
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 4
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\.eslintrc.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\.prettierrc.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\.watchmanconfig", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 55, 49, 257
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Authentification\Authcontext.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Custom\Btn.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Custom\Btn1.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Custom\Field.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Custom\constants.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Gemfile", "Ruby", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 9
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\README.md", "Markdown", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 80
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\AdminScreen.js", "JavaScript", 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 255
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\AjoutEleve.js", "JavaScript", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 186
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\Background.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\Background_AllScreen.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\Backgroundlog.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
